time,open,high,low,close
2024-06-03 16:30:00,18713.0,18720.25,18701.25,18705.5
2024-06-03 16:31:00,18704.25,18713.25,18698.25,18708.0
2024-06-03 16:32:00,18708.5,18730.25,18703.75,18714.5
2024-06-03 16:33:00,18714.0,18723.25,18710.25,18716.75
2024-06-03 16:34:00,18717.25,18724.25,18714.5,18718.75
2024-06-03 16:35:00,18719.0,18720.5,18701.0,18707.5
2024-06-03 16:36:00,18706.5,18721.25,18702.25,18720.0
2024-06-03 16:37:00,18719.25,18732.25,18719.0,18723.25
2024-06-03 16:38:00,18723.5,18730.5,18720.5,18727.25
2024-06-03 16:39:00,18727.0,18729.75,18723.0,18724.75
2024-06-03 16:40:00,18723.75,18732.25,18719.5,18732.25
2024-06-03 16:41:00,18732.5,18738.5,18727.0,18737.75
2024-06-03 16:42:00,18739.0,18744.75,18735.0,18743.5
2024-06-03 16:43:00,18743.75,18749.5,18730.0,18734.0
2024-06-03 16:44:00,18733.75,18737.0,18728.25,18730.0
2024-06-03 16:45:00,18732.75,18748.5,18730.25,18748.5
2024-06-03 16:46:00,18749.0,18755.0,18744.5,18749.25
2024-06-03 16:47:00,18749.0,18752.0,18739.75,18748.25
2024-06-03 16:48:00,18748.5,18751.5,18736.25,18742.25
2024-06-03 16:49:00,18742.5,18745.25,18725.75,18731.5
2024-06-03 16:50:00,18731.25,18732.0,18715.25,18715.75
2024-06-03 16:51:00,18714.5,18716.75,18675.25,18688.75
2024-06-03 16:52:00,18686.75,18686.75,18675.5,18679.5
2024-06-03 16:53:00,18679.75,18696.0,18677.75,18693.75
2024-06-03 16:54:00,18694.75,18698.0,18685.5,18688.75
2024-06-03 16:55:00,18689.75,18693.5,18676.5,18678.25
2024-06-03 16:56:00,18679.25,18679.5,18653.0,18677.25
2024-06-03 16:57:00,18677.5,18686.75,18668.25,18686.0
2024-06-03 16:58:00,18686.5,18686.75,18676.25,18683.0
2024-06-03 16:59:00,18682.75,18690.25,18675.0,18690.25
2024-06-03 17:00:00,18708.5,18729.25,18695.0,18707.5
2024-06-03 17:01:00,18707.25,18715.5,18675.5,18675.5
2024-06-03 17:02:00,18673.5,18690.25,18659.5,18685.5
2024-06-03 17:03:00,18687.5,18688.0,18666.25,18671.0
2024-06-03 17:04:00,18671.5,18679.25,18669.0,18674.5
2024-06-03 17:05:00,18675.0,18684.25,18668.25,18670.75
2024-06-03 17:06:00,18671.75,18679.25,18665.25,18677.5
2024-06-03 17:07:00,18677.75,18689.25,18677.25,18682.0
2024-06-03 17:08:00,18683.75,18686.0,18672.75,18672.75
2024-06-03 17:09:00,18672.25,18676.0,18652.5,18653.25
2024-06-03 17:10:00,18653.5,18663.75,18646.25,18660.75
2024-06-03 17:11:00,18660.25,18671.25,18657.0,18667.5
2024-06-03 17:12:00,18667.25,18671.25,18656.0,18661.75
2024-06-03 17:13:00,18662.5,18689.75,18659.0,18685.5
2024-06-03 17:14:00,18686.25,18696.25,18684.75,18694.25
2024-06-03 17:15:00,18696.0,18706.0,18694.25,18701.5
2024-06-03 17:16:00,18702.25,18703.5,18684.0,18686.5
2024-06-03 17:17:00,18686.75,18694.25,18684.5,18689.25
2024-06-03 17:18:00,18689.5,18694.75,18680.75,18690.25
2024-06-03 17:19:00,18691.75,18704.0,18690.75,18696.75
2024-06-03 17:20:00,18696.25,18697.5,18674.5,18683.5
2024-06-03 17:21:00,18683.25,18683.5,18676.25,18679.0
2024-06-03 17:22:00,18680.0,18685.25,18679.25,18682.5
2024-06-03 17:23:00,18682.25,18702.5,18680.75,18702.5
2024-06-03 17:24:00,18703.75,18709.5,18690.25,18695.75
2024-06-03 17:25:00,18696.75,18698.25,18688.75,18692.0
2024-06-03 17:26:00,18691.5,18703.5,18691.25,18703.0
2024-06-03 17:27:00,18704.25,18707.5,18696.75,18702.5
2024-06-03 17:28:00,18703.0,18709.5,18697.0,18697.0
2024-06-03 17:29:00,18696.5,18707.5,18695.0,18697.75
2024-06-03 17:30:00,18698.75,18701.5,18684.5,18687.25
2024-06-03 17:31:00,18687.5,18688.5,18679.75,18681.75
2024-06-03 17:32:00,18681.5,18685.75,18671.0,18677.75
2024-06-03 17:33:00,18678.75,18684.0,18675.25,18677.25
2024-06-03 17:34:00,18677.75,18678.25,18670.25,18676.5
2024-06-03 17:35:00,18677.25,18681.0,18658.25,18660.5
2024-06-03 17:36:00,18660.0,18665.0,18648.75,18651.5
2024-06-03 17:37:00,18651.0,18663.5,18649.0,18661.0
2024-06-03 17:38:00,18662.75,18665.0,18652.75,18658.75
2024-06-03 17:39:00,18658.0,18659.0,18647.5,18658.75
2024-06-03 17:40:00,18658.25,18672.25,18655.5,18668.75
2024-06-03 17:41:00,18669.75,18673.75,18663.5,18673.0
2024-06-03 17:42:00,18674.25,18674.75,18667.25,18668.5
2024-06-03 17:43:00,18668.25,18670.0,18652.0,18654.25
2024-06-03 17:44:00,18655.0,18655.0,18646.5,18653.0
2024-06-03 17:45:00,18652.5,18654.25,18639.0,18645.25
2024-06-03 17:46:00,18645.75,18646.25,18633.5,18638.0
2024-06-03 17:47:00,18637.5,18644.0,18632.75,18633.75
2024-06-03 17:48:00,18633.25,18633.25,18613.0,18615.0
2024-06-03 17:49:00,18614.5,18616.5,18606.75,18608.5
2024-06-03 17:50:00,18608.75,18610.25,18598.5,18601.5
2024-06-03 17:51:00,18600.25,18612.0,18596.25,18601.25
2024-06-03 17:52:00,18600.5,18603.5,18590.25,18594.75
2024-06-03 17:53:00,18594.5,18595.5,18582.5,18584.5
2024-06-03 17:54:00,18584.0,18591.75,18576.5,18578.25
2024-06-03 17:55:00,18581.0,18582.5,18571.0,18572.25
2024-06-03 17:56:00,18573.5,18587.75,18571.75,18580.25
2024-06-03 17:57:00,18580.0,18584.0,18573.25,18583.5
2024-06-03 17:58:00,18583.25,18593.25,18582.0,18587.0
2024-06-03 17:59:00,18587.25,18592.25,18582.75,18590.5
2024-06-03 18:00:00,18590.75,18590.75,18576.5,18579.5
2024-06-03 18:01:00,18579.0,18583.25,18575.0,18578.5
2024-06-03 18:02:00,18578.25,18582.0,18571.25,18577.75
2024-06-03 18:03:00,18577.0,18584.5,18573.75,18575.5
2024-06-03 18:04:00,18575.25,18578.0,18566.0,18572.75
2024-06-03 18:05:00,18573.75,18575.75,18564.25,18570.0
2024-06-03 18:06:00,18569.75,18582.0,18566.75,18581.5
2024-06-03 18:07:00,18581.0,18587.5,18581.0,18583.25
2024-06-03 18:08:00,18582.75,18598.0,18582.0,18589.75
2024-06-03 18:09:00,18591.25,18598.0,18589.5,18596.5
2024-06-03 18:10:00,18596.25,18602.0,18592.25,18595.5
2024-06-03 18:11:00,18595.75,18596.5,18588.25,18595.75
2024-06-03 18:12:00,18596.0,18603.0,18594.25,18599.25
2024-06-03 18:13:00,18599.5,18599.75,18587.5,18589.5
2024-06-03 18:14:00,18589.25,18591.75,18584.5,18587.25
2024-06-03 18:15:00,18588.0,18595.25,18581.5,18595.0
2024-06-03 18:16:00,18594.0,18602.75,18592.25,18593.5
2024-06-03 18:17:00,18594.5,18598.75,18587.5,18589.5
2024-06-03 18:18:00,18589.0,18603.75,18586.25,18601.75
2024-06-03 18:19:00,18602.25,18610.0,18599.5,18605.0
2024-06-03 18:20:00,18605.25,18615.0,18604.75,18614.75
2024-06-03 18:21:00,18614.5,18619.25,18613.0,18617.0
2024-06-03 18:22:00,18616.5,18618.25,18610.75,18613.5
2024-06-03 18:23:00,18613.25,18618.5,18608.25,18615.5
2024-06-03 18:24:00,18615.25,18621.5,18614.5,18619.25
2024-06-03 18:25:00,18618.75,18625.5,18617.75,18623.5
2024-06-03 18:26:00,18623.75,18628.25,18613.75,18617.0
2024-06-03 18:27:00,18616.5,18622.0,18612.25,18613.0
2024-06-03 18:28:00,18612.25,18621.5,18611.75,18617.25
2024-06-03 18:29:00,18616.75,18624.5,18614.5,18616.5
2024-06-03 18:30:00,18615.0,18624.75,18615.0,18623.25
2024-06-03 18:31:00,18623.75,18625.25,18614.0,18615.0
2024-06-03 18:32:00,18614.5,18621.25,18614.0,18616.75
2024-06-03 18:33:00,18616.5,18619.75,18614.25,18615.25
2024-06-03 18:34:00,18615.75,18617.75,18604.5,18604.5
2024-06-03 18:35:00,18603.75,18622.5,18598.0,18622.5
2024-06-03 18:36:00,18623.0,18637.25,18622.75,18635.0
2024-06-03 18:37:00,18635.5,18635.5,18628.75,18629.5
2024-06-03 18:38:00,18629.25,18629.75,18621.5,18624.5
2024-06-03 18:39:00,18623.5,18627.5,18615.5,18616.25
2024-06-03 18:40:00,18615.75,18619.25,18610.25,18613.75
2024-06-03 18:41:00,18613.25,18617.25,18602.0,18615.0
2024-06-03 18:42:00,18616.0,18623.0,18609.5,18613.25
2024-06-03 18:43:00,18612.25,18623.0,18611.75,18619.25
2024-06-03 18:44:00,18619.5,18621.0,18616.25,18620.25
2024-06-03 18:45:00,18621.25,18623.5,18611.25,18611.25
2024-06-03 18:46:00,18610.0,18610.0,18593.75,18595.5
2024-06-03 18:47:00,18594.75,18603.0,18592.5,18600.5
2024-06-03 18:48:00,18598.75,18609.0,18598.75,18604.5
2024-06-03 18:49:00,18604.75,18612.5,18603.75,18606.0
2024-06-03 18:50:00,18607.0,18608.25,18600.75,18604.25
2024-06-03 18:51:00,18604.0,18611.0,18596.0,18608.5
2024-06-03 18:52:00,18608.75,18620.0,18606.0,18619.25
2024-06-03 18:53:00,18619.5,18626.0,18616.5,18618.5
2024-06-03 18:54:00,18618.75,18619.75,18613.5,18615.75
2024-06-03 18:55:00,18615.25,18615.5,18603.75,18609.0
2024-06-03 18:56:00,18608.5,18608.5,18596.5,18601.25
2024-06-03 18:57:00,18601.0,18606.25,18598.5,18601.25
2024-06-03 18:58:00,18601.5,18605.75,18597.5,18604.25
2024-06-03 18:59:00,18604.75,18615.75,18599.25,18604.5
2024-06-03 19:00:00,18605.0,18618.75,18602.5,18614.75
2024-06-03 19:01:00,18614.25,18614.75,18601.25,18602.5
2024-06-03 19:02:00,18602.75,18603.5,18577.0,18581.5
2024-06-03 19:03:00,18581.75,18587.0,18576.25,18586.25
2024-06-03 19:04:00,18586.5,18595.5,18586.25,18592.5
2024-06-03 19:05:00,18593.25,18595.75,18582.0,18585.0
2024-06-03 19:06:00,18585.75,18589.0,18579.0,18580.75
2024-06-03 19:07:00,18579.75,18581.5,18571.75,18576.75
2024-06-03 19:08:00,18577.0,18577.5,18571.25,18573.75
2024-06-03 19:09:00,18573.5,18579.0,18569.75,18579.0
